j ai ans .	i m .
il n est pas un saint .	he s no saint .
ce n est pas un saint .	he s no saint .
il n est pas a la maison .	he s not home .
il n est pas malade .	he s not sick .
il est indigne .	he s outraged .
il est impitoyable .	he s ruthless .
il est sans pitie .	he s ruthless .
il est si jeune .	he s so young .
il est tellement jeune .	he s so young .
il etudie .	he s studying .
il est en train d etudier .	he s studying .
il est trop occupe .	he s too busy .
il est trop lent .	he s too slow .
il est tres malade .	he s very ill .
il est fort malade .	he s very ill .
il est ton fils .	he s your son .
c est ton fils .	he s your son .
c est votre fils .	he s your son .
il est votre fils .	he s your son .
je suis americain .	i am american .
je suis americaine .	i am american .
je suis japonais .	i am japanese .
je suis musulman .	i am a muslim .
je suis musulmane .	i am a muslim .
je suis musulman .	i am a muslim .
je suis un coureur .	i am a runner .
je suis tout ouie .	i am all ears .
je suis diabetique .	i am diabetic .
je suis divorce .	i am divorced .
je suis divorcee .	i am divorced .
je suis a paris .	i am in paris .
je suis nouveau ici .	i am new here .
je suis nouveau ici .	i am new here .
je ne suis pas sourd .	i am not deaf .
je suis tellement desole !	i am so sorry .
je suis tellement desolee !	i am so sorry .
je suis tres triste .	i am very sad .
j ai conclu un accord .	i made a deal .
j ai conclu un contrat .	i made a deal .
j ai conclu une affaire .	i made a deal .
je fis une liste .	i made a list .
j ai fait une liste .	i made a list .
j ai dresse une liste .	i made a list .
je dressai une liste .	i made a list .
j ai prepare du cafe .	i made coffee .
j ai prepare a dejeuner .	i made dinner .
j ai prepare le dejeuner .	i made dinner .
j ai prepare a diner .	i made dinner .
j ai prepare le diner .	i made dinner .
je l ai fait partir .	i made him go .
mon chat me manque .	i miss my cat .
ma chatte me manque .	i miss my cat .
ma maman me manque .	i miss my mom .
je dois le reparer .	i must fix it .
je dois partir maintenant .	i must go now .
je dois sortir .	i must go out .
il me faut insister .	i must insist .
je dois insister .	i must insist .
il me faut emettre une objection .	i must object .
il me faut formuler une objection .	i must object .
je dois formuler une objection .	i must object .
je dois emettre une objection .	i must object .
il me faut refuser .	i must refuse .
je dois refuser .	i must refuse .
il me faut resister .	i must resist .
je suis un patient .	i m a patient .
je suis une patiente .	i m a patient .
je suis etudiant .	i m a student .
je suis professeur .	i m a teacher .
je suis enseignante .	i m a teacher .
je m adapte .	i m adaptable .
j en ai peur .	i m afraid so .
je suis tout seul .	i m all alone .
je vais bien .	i m all right .
je suis tout a toi .	i m all yours .
je suis tout a vous .	i m all yours .
je suis toute a toi .	i m all yours .
je suis toute a vous .	i m all yours .
je suis ambitieuse .	i m ambitious .
je suis ambitieux .	i m ambitious .
je suis un artiste .	i m an artist .
je suis une artiste .	i m an artist .
je suis orphelin .	i m an orphan .
je suis attentive .	i m attentive .
je suis attentif .	i m attentive .
je suis disponible .	i m available .
je suis belle .	i m beautiful .
je suis beau .	i m beautiful .
je suis egalement affaire .	i m busy too .
je suis egalement affairee .	i m busy too .
je suis egalement occupe .	i m busy too .
je suis egalement occupee .	i m busy too .
je suis preoccupe .	i m concerned .
je suis preoccupee .	i m concerned .
j ai confiance .	i m confident .
me voila satisfait .	i m contented .
me voila satisfaite .	i m contented .
j en suis convaincu .	i m convinced .
je suis deprime .	i m depressed .
je suis desespere .	i m desperate .
je suis desesperee .	i m desperate .
je suis differente .	i m different .
je suis degoute .	i m disgusted .
je suis degoutee .	i m disgusted .
je suis facile a vivre .	i m easygoing .
je suis epuisee .	i m exhausted .
je suis epuise .	i m exhausted .
je suis vanne .	i m exhausted .
je suis vannee .	i m exhausted .
je suis fourbu .	i m exhausted .
je suis creve .	i m exhausted .
je suis crevee .	i m exhausted .
je suis distrait .	i m forgetful .
je suis distraite .	i m forgetful .
je suis etourdi .	i m forgetful .
je suis etourdie .	i m forgetful .
je suis chez moi tom .	i m home tom .
j ai mal au c ur .	i m hung over .
je suis impatient .	i m impatient .
je suis impatiente .	i m impatient .
je suis important .	i m important .
je suis impressionnee .	i m impressed .
je suis impulsif .	i m impulsive .
je suis impulsive .	i m impulsive .
je suis a boston .	i m in boston .
je suis en danger .	i m in danger .
je suis intrigue .	i m intrigued .
je suis intriguee .	i m intrigued .
cela m intrigue .	i m intrigued .
je suis juste paresseux .	i m just lazy .
je suis juste paresseuse .	i m just lazy .
j ecoute .	i m listening .
je suis motivee .	i m motivated .
je suis motive .	i m motivated .
je ne suis pas un expert .	i m no expert .
je ne suis pas flic .	i m not a cop .
je ne fais pas partie de ses admirateurs .	i m not a fan .
je ne fais pas partie de leurs admirateurs .	i m not a fan .
je ne suis pas seul .	i m not alone .
je ne suis pas seule .	i m not alone .
je ne suis pas en colere !	i m not angry !
je ne suis pas en colere .	i m not angry .
je ne suis pas arme .	i m not armed .
je ne suis pas armee .	i m not armed .
je ne suis pas aveugle .	i m not blind .
je ne suis pas fou .	i m not crazy .
je ne suis pas folle .	i m not crazy .
je ne suis pas en train de mourir .	i m not dying .
je n y vais pas .	i m not going .
je ne m y rends pas .	i m not going .
je ne m en vais pas .	i m not going .
je ne suis pas content .	i m not happy .
je ne suis pas heureux .	i m not happy .
je ne suis pas heureuse .	i m not happy .
je ne suis pas contente .	i m not happy .
je ne suis pas en train de mentir .	i m not lying .
je ne suis pas naif .	i m not naive .
je ne suis pas naive .	i m not naive .
je ne suis pas obese .	i m not obese .
je ne suis pas pret .	i m not ready .
je ne suis pas prete .	i m not ready .
je ne suis pas petite .	i m not short .
je ne suis pas fatigue .	i m not tired .
je ne suis pas fatiguee .	i m not tired .
je ne suis pas jeune .	i m not young .
je suis observateur .	i m observant .
je suis observatrice .	i m observant .
je suis respectueux .	i m observant .
je suis respectueuse .	i m observant .
je suis au regime .	i m on a diet .
je suis en chemin .	i m on my way .
je suis en route .	i m on my way .
je suis bourre .	i m plastered .
je suis desarme .	i m powerless .
je suis desarmee .	i m powerless .
je suis realiste .	i m realistic .
j eprouve du ressentiment .	i m resentful .
je suis endurant .	i m resilient .
je suis endurante .	i m resilient .
je suis tenace .	i m resilient .
je suis satisfait .	i m satisfied .
je dis non .	i m saying no .
je suis sensible .	i m sensitive .
j ai tellement faim .	i m so hungry .
je suis surpris .	i m surprised .
je suis surprise .	i m surprised .
je survis .	i m surviving .
je suis terrifie .	i m terrified .
je suis terrifiee .	i m terrified .
je suis fatigue maintenant .	i m tired now .
je suis trop saoul .	i m too drunk .
je ne suis pas assure .	i m uninsured .
je ne suis pas assuree .	i m uninsured .
je suis celibataire .	i m unmarried .
j ai tres froid .	i m very cold .
je suis tres pauvre .	i m very poor .
je vote non .	i m voting no .
je suis votre chef .	i m your boss .
je suis ton chef .	i m your boss .
je tombe .	i m falling .
elle est francaise .	she is french .
c est une jumelle .	she is a twin .
elle est jumelle .	she is a twin .
elle est active .	she is active .
elle pleure .	she is crying .
elle est en train de pleurer .	she is crying .
elle est gentille .	she is gentle .
elle est forte .	she is strong .
elle a l air triste .	she seems sad .
c est une beaute .	she s a cutie .
c est un mannequin .	she s a model .
elle est mannequin .	she s a model .
elle est super .	she s awesome .
elle fait un regime .	she s dieting .
elle est mon genre .	she s my type .
ils sont la .	they are here .
ils sont asiatiques .	they re asian .
elles sont asiatiques .	they re asian .
ils sont en vie .	they re alive .
ils sont en colere .	they re angry .
elles sont en colere .	they re angry .
ils sont armes .	they re armed .
elles sont armees .	they re armed .
ils sont eveilles .	they re awake .
elles sont eveillees .	they re awake .
ils sont courageux .	they re brave .
elles sont courageuses .	they re brave .
ils n ont pas froid aux yeux .	they re brave .
ils sont fauches .	they re broke .
elles sont fauchees .	they re broke .
ils sont propres .	they re clean .
elles sont propres .	they re clean .
ils sont fous .	they re crazy .
elles sont folles .	they re crazy .
ils sont saouls .	they re drunk .
elles sont saoules .	they re drunk .
ils sont en train de mourir .	they re dying .
elles sont en train de mourir .	they re dying .
ils sont en avance .	they re early .
elles sont en avance .	they re early .
elles sont heureuses .	they re happy .
ils mentent .	they re lying .
elles mentent .	they re lying .
ils sont petits .	they re small .
elles sont petites .	they re small .
ce sont des espions .	they re spies .
ce sont des espionnes .	they re spies .
ils sont la .	they re there .
ils sont fatigues .	they re tired .
elles sont fatiguees .	they re tired .
ils ont tort !	they re wrong .
nous sommes en guerre .	we are at war .
nous sommes condamnes .	we are doomed .
nous formons un groupe .	we re a group .
nous sommes anxieux .	we re anxious .
nous avons honte .	we re ashamed .
nous sommes perplexes .	we re baffled .
nous sommes prudents .	we re careful .
nous sommes prudentes .	we re careful .
nous sommes certains .	we re certain .
nous sommes certaines .	we re certain .
nous sommes cousines .	we re cousins .
nous sommes en train de danser .	we re dancing .
nous sommes au regime .	we re dieting .
nous sommes fiances .	we re engaged .
nous faisons la diete .	we re fasting .
nous sommes amis .	we re friends .
nous sommes amies .	we re friends .
nous nous aimons .	we re in love .
nous sommes amoureux .	we re in love .
nous sommes amoureuses .	we re in love .
nous sommes veinards .	we re in luck .
nous sommes veinardes .	we re in luck .
nous souffrons .	we re in pain .
nous sommes synchronises .	we re in sync .
nous sommes synchronisees .	we re in sync .
nous sommes en ville .	we re in town .
nous sommes jalouses .	we re jealous .
nous plaisantons .	we re kidding .
nous sommes maries .	we re married .
nous ne sommes pas en forme .	we re not fit .
nous ne sommes pas fous .	we re not mad .
nous ne sommes pas folles .	we re not mad .
nous ne sommes pas vieux .	we re not old .
nous ne sommes pas vieilles .	we re not old .
nous sommes en train de lire .	we re reading .
nous sommes detendus .	we re relaxed .
nous sommes detendues .	we re relaxed .
nous sommes serieux .	we re serious .
nous sommes serieuses .	we re serious .
nous sommes choques .	we re shocked .
nous sommes choquees .	we re shocked .
nous sommes sinceres .	we re sincere .
nous coulons .	we re sinking .
nous sommes en train de couler .	we re sinking .
nous sommes bourres .	we re sloshed .
nous sommes bourrees .	we re sloshed .
nous sommes bourres .	we re smashed .
nous sommes bourrees .	we re smashed .
nous sommes speciaux .	we re special .
nous sommes a l arret .	we re stalled .
nous sommes affames .	we re starved .
nous sommes affamees .	we re starved .
nous restons .	we re staying .
nous sommes gaves .	we re stuffed .
nous sommes gavees .	we re stuffed .
nous sommes sideres .	we re stunned .
nous sommes siderees .	we re stunned .
nous avons termine .	we re through .
nous en avons fini .	we re through .
nous sommes trop vieux .	we re too old .
nous sommes touches .	we re touched .
nous sommes touchees .	we re touched .
nous sommes pieges !	we re trapped !
nous sommes piegees !	we re trapped !
nous sommes pieges .	we re trapped .
nous sommes piegees .	we re trapped .
nous ne sommes pas satisfaits .	we re unhappy .
nous ne sommes pas satisfaites .	we re unhappy .
nous sommes malchanceux .	we re unlucky .
nous sommes malchanceuses .	we re unlucky .
nous sommes inutiles .	we re useless .
nous sommes en train d attendre .	we re waiting .
nous sommes riches .	we re wealthy .
nous sommes des gagneurs .	we re winners .
nous sommes en train de gagner .	we re winning .
nous sommes en train de travailler .	we re working .
nous nous faisons du souci .	we re worried .
tu es fou .	you are crazy .
tu es bourre !	you are drunk !
tu es saoul !	you are drunk !
tu viens tot .	you are early .
vous etes matinal .	you are early .
vous etes matinale .	you are early .
tu es matinal .	you are early .
tu es matinale .	you are early .
tu es en avance .	you are early .
vous etes en avance .	you are early .
vous mentez .	you are lying .
vous etes en train de mentir .	you are lying .
tu es en train de mentir .	you are lying .
tu es malin .	you are sharp .
vous avez tort .	you are wrong .
tu as tort .	you are wrong .
tu es un amour !	you re a doll !
vous etes un amour !	you re a doll !
tu es un menteur .	you re a liar .
vous etes un menteur .	you re a liar .
vous etes une menteuse .	you re a liar .
tu es une menteuse .	you re a liar .
tu es un binoclard .	you re a nerd .
tu es snob .	you re a snob .
vous etes snob .	you re a snob .
tu es partiale .	you re biased .
tu es partial .	you re biased .
vous m ennuyez .	you re boring .
tu m ennuies .	you re boring .
tu es brillant .	you re bright .
tu es brillante .	you re bright .
vous etes brillant .	you re bright .
vous etes brillante .	you re bright .
vous etes brillants .	you re bright .
vous etes brillantes .	you re bright .
tu es malin .	you re clever .
tu es maline .	you re clever .
vous etes malin .	you re clever .
vous etes maline .	you re clever .
vous etes malins .	you re clever .
vous etes malines .	you re clever .
vous etes ruse .	you re crafty .
tu es ruse .	you re crafty .
tu es rusee .	you re crafty .
vous etes ruses .	you re crafty .
vous etes rusee .	you re crafty .
vous etes rusees .	you re crafty .
